program_id,faculty_id,faculty_name_ar,faculty_name_en,program_name_ar,program_name_en,degree_level,plan_found,source_type,levels_found,courses_found,course_codes_available,credit_hours_available,prerequisites_available,electives_identified,source_date_version,extraction_confidence,recommended_status,source_url_ar,source_url_en
catalog-bachelor-event-management,TU,السياحة,tourism,بكالوريوس إدارة الفعاليات والمناسبات,Bachelor Event Management,bachelor,True,rendered_html_embedded_structured_data,12,111,True,True,False,False,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/bachelor-event-management,https://kau.edu.sa/en/programs/bachelor-event-management
catalog-bachelor-of-sharia,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في الشريعة,Bachelor of Sharia,bachelor,True,rendered_html_embedded_structured_data,18,206,True,False,True,True,13/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-of-sharia,https://kau.edu.sa/en/programs/bachelor-of-sharia
catalog-applied-medica-sciences-bachelor-of-medical-laboratory-sciences,AM,العلوم الطبية التطبيقية,Applied Medica.Sciences,بكلوريوس علوم المختبرات الطبية,Bachelor of Medical Laboratory Sciences,bachelor,True,rendered_html_embedded_structured_data,6,45,True,False,True,True,14/06/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/medical-laboratory-sciences,https://kau.edu.sa/en/programs/medical-laboratory-sciences
catalog-applied-medica-sciences-bachelor-of-radiologic-sciences,AM,العلوم الطبية التطبيقية,Applied Medica.Sciences,بكالوريوس علوم الأشعة,Bachelor of Radiologic Sciences,bachelor,True,rendered_html_embedded_structured_data,8,54,True,False,True,False,14/06/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/radiologic-sciences,https://kau.edu.sa/en/programs/radiologic-sciences
catalog-architecture-and-planning-bachelor-of-landscape-architecture,AP,العمارة والتخطيط,ARCHITECTURE AND PLANNING,بكالوريوس عمارة البيئة,Bachelor of Landscape Architecture,bachelor,True,rendered_html_embedded_structured_data,12,81,True,False,True,True,08/02/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-of-landscape-architecture,https://kau.edu.sa/en/programs/bachelor-of-landscape-architecture
catalog-bachelor-of-marketing-communication-program,CM,الاتصال والإعلام,communications&media,برنامج بكالوريوس الاتصال التسويقي,Bachelor of Marketing Communication Program,bachelor,True,rendered_html_embedded_structured_data,8,44,True,False,True,True,,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-of-marketing-communication-program,https://kau.edu.sa/en/programs/bachelor-of-marketing-communication-program
catalog-bachelor-of-public-relations-program,CM,الاتصال والإعلام,communications&media,برنامج بكالوريوس العلاقات العامة,Bachelor of Public Relations Program,bachelor,True,rendered_html_embedded_structured_data,8,44,True,False,True,True,14/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-of-public-relations-program,https://kau.edu.sa/en/programs/bachelor-of-public-relations-program
catalog-bachelor-fashion-and-textile-technology,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس تكنولوجيا الأزياء والنسيج,Bachelor Fashion and Textile Technology,bachelor,True,rendered_html_embedded_structured_data,10,83,True,False,True,True,,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-fashion-and-textile-technology,https://kau.edu.sa/en/programs/bachelor-fashion-and-textile-technology
catalog-food-and-nutrition,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس الغذاء والتغذية,Bachelor Food and Nutrition,bachelor,True,rendered_html_embedded_structured_data,10,81,True,False,True,True,05/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/food-and-nutrition,https://kau.edu.sa/en/programs/food-and-nutrition
catalog-bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس صناعة الأزياء لذوى الإعاقة السمعية الشديدة,Bachelor of Fashion Industry for Individuals with Severe Hearing Disabilities,bachelor,True,rendered_html_embedded_structured_data,10,80,True,False,True,True,13/07/2026,low,insufficient_data,https://kau.edu.sa/ar/programs/bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities,https://kau.edu.sa/en/programs/bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities
